	model	lang	pairid	expected	unexpected	diff	acc
3074	yoda model	yoda	197	3.532212495803833	4.038567471504211	-0.5063549757003782	True
3075	yoda model	yoda	199	3.598350262641907	4.0161834239959715	-0.4178331613540647	True
3076	yoda model	yoda	201	3.1719249963760374	4.0161834239959715	-0.8442584276199341	True
3077	yoda model	yoda	203	3.658191680908203	4.038567471504211	-0.3803757905960081	True
3078	yoda model	yoda	205	3.1048585414886474	4.0161834239959715	-0.9113248825073241	True
3079	yoda model	yoda	207	2.683765721321106	4.0161834239959715	-1.3324177026748654	True
3080	yoda model	yoda	209	2.9971115350723267	3.088948392868042	-0.09183685779571515	True
3081	yoda model	yoda	211	3.643789291381836	3.6607511043548584	-0.01696181297302246	True
3082	yoda model	yoda	213	3.205295705795288	2.683765721321106	0.5215299844741819	False
3083	yoda model	yoda	215	3.57498984336853	2.683765721321106	0.891224122047424	False
3084	yoda model	yoda	217	3.205295705795288	3.1719249963760374	0.03337070941925058	False
3085	yoda model	yoda	219	3.57498984336853	3.1719249963760374	0.4030648469924927	False
3086	yoda model	yoda	221	3.558247518539429	3.1048585414886474	0.4533889770507815	False
3087	yoda model	yoda	223	3.552025556564331	3.1048585414886474	0.4471670150756837	False
3088	yoda model	yoda	225	3.558247518539429	3.598350262641907	-0.04010274410247794	True
3089	yoda model	yoda	227	3.552025556564331	3.598350262641907	-0.04632470607757577	True
3090	yoda model	yoda	229	3.0344846487045287	3.110546016693115	-0.07606136798858643	True
3091	yoda model	yoda	231	3.7447866439819335	3.7220380306243896	0.022748613357543856	False
3092	yoda model	yoda	233	3.2094265460968017	2.683765721321106	0.5256608247756955	False
3093	yoda model	yoda	235	3.57498984336853	2.683765721321106	0.891224122047424	False
3094	yoda model	yoda	237	3.2094265460968017	3.1719249963760374	0.03750154972076425	False
3095	yoda model	yoda	239	3.57498984336853	3.1719249963760374	0.4030648469924927	False
3096	yoda model	yoda	241	3.581112432479858	3.1048585414886474	0.47625389099121085	False
3097	yoda model	yoda	243	3.552025556564331	3.1048585414886474	0.4471670150756837	False
3098	yoda model	yoda	245	3.581112432479858	3.598350262641907	-0.017237830162048606	True
3099	yoda model	yoda	247	3.552025556564331	3.598350262641907	-0.04632470607757577	True
3100	yoda model	yoda	249	3.627698278427124	3.6116560220718386	0.016042256355285556	False
3101	yoda model	yoda	251	3.7604182243347166	3.5842200756072997	0.1761981487274169	False
3102	yoda model	yoda	253	3.532212495803833	4.031453418731689	-0.49924092292785627	True
3103	yoda model	yoda	255	3.5738928079605103	3.971675729751587	-0.39778292179107666	True
3104	yoda model	yoda	257	3.1576862573623656	3.971675729751587	-0.8139894723892214	True
3105	yoda model	yoda	259	3.658191680908203	4.031453418731689	-0.37326173782348615	True
3106	yoda model	yoda	261	3.1048585414886474	3.971675729751587	-0.8668171882629396	True
3107	yoda model	yoda	263	2.683765721321106	3.971675729751587	-1.2879100084304809	True
3108	yoda model	yoda	265	3.1194721698760985	3.594988751411438	-0.47551658153533927	True
3109	yoda model	yoda	267	3.1576862573623656	3.6391232013702393	-0.4814369440078736	True
